UID,CV,Personal Statement,References,Application Form,Cover Letter,Presentation,Interview,Portfolio,Test
327246,False,False,False,False,False,False,True,False,False
327241,False,False,False,False,False,False,True,False,False
325636,False,False,False,False,False,False,True,False,False
326892,False,False,False,False,False,False,True,False,False
327700,False,False,False,False,False,False,True,False,False
326444,False,False,False,False,False,False,True,False,False
326006,False,False,False,False,False,False,True,False,False
323534,False,False,False,False,False,False,True,False,False
327353,False,False,False,False,False,False,True,False,False
327310,False,False,False,False,False,False,True,False,False
