Title,Department,Location,Salary,Closing Date,UID
Army - Dangerous Goods Instructor,Ministry of Defence,"Worthy Down Campus, Kings Worthy, Near Winchester. We are passionate about Smarter Working and believe that a combination of flexible working practices, digital technology and modern workspaces will give ... see the job advert for full location information","Salary : £28,300",Closes : 11:55 pm on Friday 10th November 2023,Reference : 315011
Royal Navy Principal Data Protection Advisor,Ministry of Defence,"Navy Command HQ, Leach Building, Whale Island, Portsmouth, PO2 8BY","Salary : £43,080",Closes : 11:55 pm on Friday 10th November 2023,Reference : 322336
Computer Systems Validation Project Manager,UK Health Security Agency,"UKHSA Porton Down, SP4 0JG","Salary : £65,302 to £75,129",Closes : 11:55 pm on Friday 10th November 2023,Reference : 323744
Senior Policy Advisor – Pro-innovation regulation and standards,"Department for Science, Innovation & Technology","Birmingham, Cardiff, Darlington, Edinburgh, London, Manchester","Salary : £50,305 to £61,145",Closes : 11:55 pm on Friday 10th November 2023,Reference : 323017
Senior Scientist,UK Health Security Agency,"2 Rivergate, Bristol, BS1 6EH with Hybrid Working","Salary : £38,724 to £44,393",Closes : 11:55 pm on Friday 10th November 2023,Reference : 323589
Arm’s Length Body Oversight Advisor,Department of Health and Social Care,Leeds and London,"Salary : £32,188",Closes : 11:55 pm on Friday 10th November 2023,Reference : 321710
Business Manager/Executive Assistant,Department of Health and Social Care,Leeds and London,"Salary : £32,188",Closes : 11:55 pm on Friday 10th November 2023,Reference : 321845
Epidemiology and Information Scientist,UK Health Security Agency,"2 Rivergate, Bristol, BS1 6EH","Salary : £30,473 to £37,215",Closes : 11:55 pm on Friday 10th November 2023,Reference : 323565
Policy/Performance Support,Department of Health and Social Care,London and Leeds,"Salary : £27,079",Closes : 11:55 pm on Friday 10th November 2023,Reference : 320791
Corporate Performance Manager,UK Space Agency,"Didcot, South East England, OX11 0QR","Salary : £50,305 to £57,760",Closes : 11:55 pm on Friday 10th November 2023,Reference : 321419
Head of Portfolio Management and Corporate Performance,UK Space Agency,"Didcot, South East England, OX11 0QR","Salary : £61,580 to £70,890",Closes : 11:55 pm on Friday 10th November 2023,Reference : 321293
Portfolio Benefits Lead,UK Space Agency,"Didcot, South East England, OX11 0QR","Salary : £37,470 to £41,925",Closes : 11:55 pm on Friday 10th November 2023,Reference : 321434
"Investment Lead, DBT Northern Ireland ",Department for Business and Trade,Belfast,"Salary : £52,000 to £58,652",Closes : 11:55 pm on Friday 10th November 2023,Reference : 321334
"Approvals, Assurance and Controls Change Manager",Department for Energy Security & Net Zero,"Aberdeen, Birmingham, Cardiff, Darlington, Edinburgh, London, Salford","Salary : £50,305 to £61,145",Closes : 11:55 pm on Friday 10th November 2023,Reference : 323140
Administrative Officer,Forestry Commission,"Coleford, South West England, GL16 8BA","Salary : £23,098",Closes : 11:55 pm on Friday 10th November 2023,Reference : 322756
Economic Crime Communications and Engagement Officer ,HM Revenue and Customs,"Belfast, Birmingham, Bristol, Cardiff, Edinburgh, Leeds, Liverpool, Newcastle-upon-Tyne, Salford","Salary : £35,092 to £37,725",Closes : 11:55 pm on Friday 10th November 2023,Reference : 320417
"SM-Dir Technical, Transition and Continuous Improvement Head",Ministry of Defence,"Portsmouth, South East England, PO2 8BY : City of Westminster, London (region), SW1A 2HB","Salary : £67,820",Closes : 11:55 pm on Friday 10th November 2023,Reference : 322139
Crime in Prisons Regional Adviser (Ref: 80869),HM Prison & Probation Service,"This position can be based at NPS 2 Cobden Street Leicester, LE1 2LB, NPS 8 Corporation Street Lincoln, LN2 1HN, NPS 9 Castle Quay Nottingham, NG7 1FW, NPS Arrival Square Mansfield, NG18 1LP, NPS Derwent ... see the job advert for full location information","Salary : £47,907",Closes : 11:55 pm on Friday 10th November 2023,Reference : 323346
Tornado Support 1,Ministry of Defence,"Post is primarily based at Cromwell House, Dean Stanley Street, London, SW1P 3JH, although MOD is currently following hybrid working arrangements.","Salary : £43,080",Closes : 11:55 pm on Friday 10th November 2023,Reference : 323328
"Scientist Cell-Based Assay-£31,064 p.a. + benefits",Medicines and Healthcare Products Regulatory Agency,South Mimms/Hertfordshire,"Salary : £31,064",Closes : 11:55 pm on Friday 10th November 2023,Reference : 323338
