UID,CV,Personal Statement,References,Application Form,Cover Letter,Presentation,Interview,Portfolio,Test
327088,True,True,False,False,False,False,True,True,False
325901,True,True,False,False,False,False,True,True,False
324925,True,True,False,False,False,False,True,True,False
326824,True,True,False,False,False,False,True,True,False
326293,True,True,False,False,False,False,True,True,False
329065,True,True,False,False,False,False,True,True,False
325691,True,True,False,False,False,False,True,True,False
326045,True,True,False,False,False,False,True,True,False
326493,True,True,False,False,False,False,True,True,False
326869,True,True,False,False,False,False,True,True,False
327033,True,True,False,False,False,False,True,True,False
326542,True,True,False,False,False,False,True,True,False
326709,True,True,False,False,False,False,True,True,False
326738,True,True,False,False,False,False,True,True,False
326362,True,True,False,False,False,False,True,True,False
310262,True,True,False,False,False,False,True,True,False
326314,True,True,False,False,False,False,True,True,False
326893,True,True,False,False,False,False,True,True,False
326794,True,True,False,False,False,False,True,True,False
324770,True,True,False,False,False,False,True,True,False
326882,True,True,False,False,False,False,True,True,False
325337,True,True,False,False,False,False,True,True,False
326784,True,True,False,False,False,False,True,True,False
326831,True,True,False,False,False,False,True,True,False
326814,True,True,False,False,False,False,True,True,False
326370,True,True,False,False,False,False,True,True,False
323828,True,True,False,False,False,False,True,True,False
326813,True,True,False,False,False,False,True,True,False
325703,True,True,False,False,False,False,True,True,False
325333,True,True,False,False,False,False,True,True,False
281597,True,True,False,False,False,False,True,True,False
326795,True,True,False,False,False,False,True,True,False
326764,True,True,False,False,False,False,True,True,False
326200,True,True,False,False,False,False,True,True,False
323835,True,True,False,False,False,False,True,True,False
326744,True,True,False,False,False,False,True,True,False
326727,True,True,False,False,False,False,True,True,False
321563,True,True,False,False,False,False,True,True,False
326177,True,True,False,False,False,False,True,True,False
326386,True,True,False,False,False,False,True,True,False
326673,True,True,False,False,False,False,True,True,False
326675,True,True,False,False,False,False,True,True,False
326563,True,True,False,False,False,False,True,True,False
326652,True,True,False,False,False,False,True,True,False
326396,True,True,False,False,False,False,True,True,False
324841,True,True,False,False,False,False,True,True,False
324359,True,True,False,False,False,False,True,True,False
326648,True,True,False,False,False,False,True,True,False
324957,True,True,False,False,False,False,True,True,False
326042,True,True,False,False,False,False,True,True,False
324623,True,True,False,False,False,False,True,True,False
325904,True,True,False,False,False,False,True,True,False
324774,True,True,False,False,False,False,True,True,False
326621,True,True,False,False,False,False,True,True,False
326539,True,True,False,False,False,False,True,True,False
326531,True,True,False,False,False,False,True,True,False
326506,True,True,False,False,False,False,True,True,False
326476,True,True,False,False,False,False,True,True,False
322737,True,True,False,False,False,False,True,True,False
326429,True,True,False,False,False,False,True,True,False
326323,True,True,False,False,False,False,True,True,False
326289,True,True,False,False,False,False,True,True,False
326086,True,True,False,False,False,False,True,True,False
325867,True,True,False,False,False,False,True,True,False
325852,True,True,False,False,False,False,True,True,False
324753,True,True,False,False,False,False,True,True,False
325347,True,True,False,False,False,False,True,True,False
324773,True,True,False,False,False,False,True,True,False
325458,True,True,False,False,False,False,True,True,False
325277,True,True,False,False,False,False,True,True,False
325410,True,True,False,False,False,False,True,True,False
325401,True,True,False,False,False,False,True,True,False
325374,True,True,False,False,False,False,True,True,False
314120,True,True,False,False,False,False,True,True,False
324678,True,True,False,False,False,False,True,True,False
325293,True,True,False,False,False,False,True,True,False
324694,True,True,False,False,False,False,True,True,False
324319,True,True,False,False,False,False,True,True,False
324644,True,True,False,False,False,False,True,True,False
323021,True,True,False,False,False,False,True,True,False
323158,True,True,False,False,False,False,True,True,False
323089,True,True,False,False,False,False,True,True,False
324107,True,True,False,False,False,False,True,True,False
321344,True,True,False,False,False,False,True,True,False
321097,True,True,False,False,False,False,True,True,False
320421,True,True,False,False,False,False,True,True,False
320359,True,True,False,False,False,False,True,True,False
311526,True,True,False,False,False,False,True,True,False
309036,True,True,False,False,False,False,True,True,False
322852,True,True,False,False,False,False,True,True,False
326834,True,True,False,False,False,False,True,True,False
323587,True,True,False,False,False,False,True,True,False
326091,True,True,False,False,False,False,True,True,False
326084,True,True,False,False,False,False,True,True,False
324699,True,True,False,False,False,False,True,True,False
322833,True,True,False,False,False,False,True,True,False
323614,True,True,False,False,False,False,True,True,False
326889,True,True,False,False,False,False,True,True,False
322304,True,True,False,False,False,False,True,True,False
327326,True,True,False,False,False,False,True,True,False
326584,True,True,False,False,False,False,True,True,False
326225,True,True,False,False,False,False,True,True,False
327162,True,True,False,False,False,False,True,True,False
326653,True,True,False,False,False,False,True,True,False
327118,True,True,False,False,False,False,True,True,False
321989,True,True,False,False,False,False,True,True,False
325902,True,True,False,False,False,False,True,True,False
327096,True,True,False,False,False,False,True,True,False
327095,True,True,False,False,False,False,True,True,False
326964,True,True,False,False,False,False,True,True,False
327064,True,True,False,False,False,False,True,True,False
317893,True,True,False,False,False,False,True,True,False
327055,True,True,False,False,False,False,True,True,False
327045,True,True,False,False,False,False,True,True,False
327056,True,True,False,False,False,False,True,True,False
326363,True,True,False,False,False,False,True,True,False
327044,True,True,False,False,False,False,True,True,False
327039,True,True,False,False,False,False,True,True,False
326995,True,True,False,False,False,False,True,True,False
326999,True,True,False,False,False,False,True,True,False
326011,True,True,False,False,False,False,True,True,False
320286,True,True,False,False,False,False,True,True,False
326986,True,True,False,False,False,False,True,True,False
326354,True,True,False,False,False,False,True,True,False
326796,True,True,False,False,False,False,True,True,False
326966,True,True,False,False,False,False,True,True,False
325615,True,True,False,False,False,False,True,True,False
326951,True,True,False,False,False,False,True,True,False
326954,True,True,False,False,False,False,True,True,False
326942,True,True,False,False,False,False,True,True,False
326937,True,True,False,False,False,False,True,True,False
326418,True,True,False,False,False,False,True,True,False
326907,True,True,False,False,False,False,True,True,False
326908,True,True,False,False,False,False,True,True,False
311339,True,True,False,False,False,False,True,True,False
326902,True,True,False,False,False,False,True,True,False
325155,True,True,False,False,False,False,True,True,False
326125,True,True,False,False,False,False,True,True,False
326502,True,True,False,False,False,False,True,True,False
326835,True,True,False,False,False,False,True,True,False
326790,True,True,False,False,False,False,True,True,False
326770,True,True,False,False,False,False,True,True,False
326730,True,True,False,False,False,False,True,True,False
326716,True,True,False,False,False,False,True,True,False
326711,True,True,False,False,False,False,True,True,False
325666,True,True,False,False,False,False,True,True,False
326250,True,True,False,False,False,False,True,True,False
326286,True,True,False,False,False,False,True,True,False
326487,True,True,False,False,False,False,True,True,False
325630,True,True,False,False,False,False,True,True,False
324519,True,True,False,False,False,False,True,True,False
316812,True,True,False,False,False,False,True,True,False
324804,True,True,False,False,False,False,True,True,False
316801,True,True,False,False,False,False,True,True,False
326211,True,True,False,False,False,False,True,True,False
323686,True,True,False,False,False,False,True,True,False
325540,True,True,False,False,False,False,True,True,False
324702,True,True,False,False,False,False,True,True,False
325561,True,True,False,False,False,False,True,True,False
325564,True,True,False,False,False,False,True,True,False
325572,True,True,False,False,False,False,True,True,False
325569,True,True,False,False,False,False,True,True,False
325566,True,True,False,False,False,False,True,True,False
325568,True,True,False,False,False,False,True,True,False
325539,True,True,False,False,False,False,True,True,False
325577,True,True,False,False,False,False,True,True,False
325545,True,True,False,False,False,False,True,True,False
325554,True,True,False,False,False,False,True,True,False
325562,True,True,False,False,False,False,True,True,False
326049,True,True,False,False,False,False,True,True,False
326016,True,True,False,False,False,False,True,True,False
325918,True,True,False,False,False,False,True,True,False
325920,True,True,False,False,False,False,True,True,False
325916,True,True,False,False,False,False,True,True,False
325846,True,True,False,False,False,False,True,True,False
325685,True,True,False,False,False,False,True,True,False
324884,True,True,False,False,False,False,True,True,False
325557,True,True,False,False,False,False,True,True,False
324971,True,True,False,False,False,False,True,True,False
325309,True,True,False,False,False,False,True,True,False
325260,True,True,False,False,False,False,True,True,False
325186,True,True,False,False,False,False,True,True,False
325084,True,True,False,False,False,False,True,True,False
322532,True,True,False,False,False,False,True,True,False
324382,True,True,False,False,False,False,True,True,False
324373,True,True,False,False,False,False,True,True,False
324362,True,True,False,False,False,False,True,True,False
324358,True,True,False,False,False,False,True,True,False
324230,True,True,False,False,False,False,True,True,False
324350,True,True,False,False,False,False,True,True,False
324396,True,True,False,False,False,False,True,True,False
324040,True,True,False,False,False,False,True,True,False
324038,True,True,False,False,False,False,True,True,False
