UID,CV,Personal Statement,References,Application Form,Cover Letter,Presentation,Interview,Portfolio,Test
325487,True,False,False,False,False,False,True,False,False
325471,True,False,False,False,False,False,True,False,False
323805,True,False,False,False,False,False,True,True,False
326024,True,False,False,False,False,False,True,False,False
321031,True,False,False,False,False,False,True,False,False
320729,True,False,False,False,False,False,True,False,True
325892,True,False,False,False,False,False,True,False,True
323132,True,False,False,False,False,False,True,False,True
325950,True,False,False,False,False,False,True,False,False
325730,True,True,False,False,False,True,True,False,False
326330,True,True,False,False,False,False,True,False,False
325967,True,False,False,False,False,True,True,False,False
325497,True,True,False,False,False,False,True,False,False
323532,True,False,False,False,False,False,True,False,False
325236,True,False,False,False,False,False,True,False,False
321680,True,True,False,False,False,False,True,False,False
310729,True,True,False,False,False,False,True,False,False
324317,True,False,False,False,False,False,True,False,False
324216,False,False,False,False,False,False,True,False,False
322326,True,True,False,False,False,False,True,False,False
310827,True,False,False,False,False,False,True,False,False
317545,True,False,False,False,False,False,True,False,True
326216,True,False,False,False,False,False,True,False,False
324214,True,False,False,False,False,False,True,False,False
328550,True,True,False,False,False,False,True,False,False
