UID,CV,Personal Statement,References,Application Form,Cover Letter,Presentation,Interview,Portfolio,Test
330362,False,False,False,False,False,False,False,False,False
328361,False,False,False,False,False,False,False,False,False
327982,False,False,False,False,False,False,False,False,False
330418,False,False,False,False,False,False,False,False,False
330043,False,False,False,False,False,False,False,False,False
329948,False,False,False,False,False,False,False,False,False
329607,False,False,False,False,False,False,False,False,False
329601,False,False,False,False,False,False,False,False,False
329453,False,False,False,False,False,False,False,False,False
329498,False,False,False,False,False,False,False,False,False
